Drug Bank ID,inRepurposeDB,Type,Approved,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C19 substrate,CYP450 inhibitory promiscuity,Ames test,Carcinogenicity,Biodegradation,hERG inhibition (predictor I),hERG inhibition (predictor II)
439693,Y,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
441290,N,Small Molecule,Y,-,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
441314,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
441335,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
441383,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
443872,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
444036,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
445643,N,Small Molecule,Y,-,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
446155,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
446156,N,Small Molecule,N,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
446157,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
446541,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
446596,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
447043,N,Small Molecule,Y,-,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
449171,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
449193,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
451668,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
460612,Y,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
464205,Y,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
477468,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Inhibitor
489181,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
644241,Y,Small Molecule,Y,+,+,-,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
667490,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
969472,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
1548943,N,Small Molecule,N,+,+,+,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2724385,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3000226,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3001028,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Strong inhibitor,Inhibitor
3001055,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
3002977,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3010818,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3011155,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3033637,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
3033825,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3034010,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3036505,N,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3052762,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3062316,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3081361,N,Small Molecule,N,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3083544,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4369359,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4659569,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5277135,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5280360,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
5280453,N,Small Molecule,N,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5280754,Y,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281004,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281006,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281037,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281040,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281042,N,Small Molecule,Y,-,+,+,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281071,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5281078,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
5281081,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5281104,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5282226,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5282379,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
5284513,N,Small Molecule,Y,+,-,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
5284543,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284549,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284569,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284570,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284603,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284604,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5284627,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5288783,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5288826,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311027,Y,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311066,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311067,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5311068,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311181,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311221,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311304,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5311309,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5312125,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5328940,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
5329102,Y,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5359476,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5360373,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5360515,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5360696,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5362065,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5362129,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
5362440,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5388906,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
5479529,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
